"main_id","main_name","matching_id","count_all","count_match"
1,"Дендрология",1,221,221
4,"Генерал РАДЕВ-ПРЕЗИДЕНТ на БЪЛГАРИЯ",1,12609,4
4,"Генерал РАДЕВ-ПРЕЗИДЕНТ на БЪЛГАРИЯ",4,12609,12609
6,"ОБЩЕСТВЕНА ПОДКРЕПА ЗА БСП !",1,8329,4
6,"ОБЩЕСТВЕНА ПОДКРЕПА ЗА БСП !",4,8329,1850
6,"ОБЩЕСТВЕНА ПОДКРЕПА ЗА БСП !",6,8329,8329
7,"NOMADS - a life of cheap/free travel",1,37930,1
7,"NOMADS - a life of cheap/free travel",4,37930,1
7,"NOMADS - a life of cheap/free travel",6,37930,2
7,"NOMADS - a life of cheap/free travel",7,37930,37930
8,"ДА СПРЕМ ислямизацията!/SIOE Bulgaria",1,9078,2
8,"ДА СПРЕМ ислямизацията!/SIOE Bulgaria",4,9078,371
8,"ДА СПРЕМ ислямизацията!/SIOE Bulgaria",6,9078,371
8,"ДА СПРЕМ ислямизацията!/SIOE Bulgaria",7,9078,3
8,"ДА СПРЕМ ислямизацията!/SIOE Bulgaria",8,9078,9078
9,"2016 deserves to DIE!",1,144,4
9,"2016 deserves to DIE!",4,144,1
9,"2016 deserves to DIE!",6,144,1
9,"2016 deserves to DIE!",7,144,1
9,"2016 deserves to DIE!",8,144,1
9,"2016 deserves to DIE!",9,144,144
10,"Trading For Dummies/ Трейдинг за начинаещи",1,274,1
10,"Trading For Dummies/ Трейдинг за начинаещи",4,274,2
10,"Trading For Dummies/ Трейдинг за начинаещи",6,274,2
10,"Trading For Dummies/ Трейдинг за начинаещи",7,274,1
10,"Trading For Dummies/ Трейдинг за начинаещи",8,274,4
10,"Trading For Dummies/ Трейдинг за начинаещи",9,274,1
10,"Trading For Dummies/ Трейдинг за начинаещи",10,274,274
11,"Фб КОАЛИЦИЯ АНТИ-ГЕРБ - ВРЕМЕ Е!",1,8941,2
11,"Фб КОАЛИЦИЯ АНТИ-ГЕРБ - ВРЕМЕ Е!",4,8941,1476
11,"Фб КОАЛИЦИЯ АНТИ-ГЕРБ - ВРЕМЕ Е!",6,8941,1756
11,"Фб КОАЛИЦИЯ АНТИ-ГЕРБ - ВРЕМЕ Е!",7,8941,1
11,"Фб КОАЛИЦИЯ АНТИ-ГЕРБ - ВРЕМЕ Е!",8,8941,724
11,"Фб КОАЛИЦИЯ АНТИ-ГЕРБ - ВРЕМЕ Е!",9,8941,1
11,"Фб КОАЛИЦИЯ АНТИ-ГЕРБ - ВРЕМЕ Е!",10,8941,1
11,"Фб КОАЛИЦИЯ АНТИ-ГЕРБ - ВРЕМЕ Е!",11,8941,8941
12,"Класически ПМГ-ец",1,570,1
12,"Класически ПМГ-ец",4,570,1
12,"Класически ПМГ-ец",6,570,2
12,"Класически ПМГ-ец",7,570,2
12,"Класически ПМГ-ец",8,570,2
12,"Класически ПМГ-ец",9,570,1
12,"Класически ПМГ-ец",10,570,6
12,"Класически ПМГ-ец",11,570,1
12,"Класически ПМГ-ец",12,570,570
13,"Дочуто в София / Overheard in Sofia",1,38453,18
13,"Дочуто в София / Overheard in Sofia",4,38453,528
13,"Дочуто в София / Overheard in Sofia",6,38453,345
13,"Дочуто в София / Overheard in Sofia",7,38453,48
13,"Дочуто в София / Overheard in Sofia",8,38453,366
13,"Дочуто в София / Overheard in Sofia",9,38453,18
13,"Дочуто в София / Overheard in Sofia",10,38453,6
13,"Дочуто в София / Overheard in Sofia",11,38453,492
13,"Дочуто в София / Overheard in Sofia",12,38453,16
13,"Дочуто в София / Overheard in Sofia",13,38453,38453
14,"Демократична България без комунисти и русофили.",1,441,1
14,"Демократична България без комунисти и русофили.",4,441,9
14,"Демократична България без комунисти и русофили.",6,441,9
14,"Демократична България без комунисти и русофили.",7,441,1
14,"Демократична България без комунисти и русофили.",8,441,41
14,"Демократична България без комунисти и русофили.",9,441,2
14,"Демократична България без комунисти и русофили.",10,441,1
14,"Демократична България без комунисти и русофили.",11,441,40
14,"Демократична България без комунисти и русофили.",12,441,1
14,"Демократична България без комунисти и русофили.",13,441,36
14,"Демократична България без комунисти и русофили.",14,441,441
15,"ПРОТИВ ИСЛЯМИЗАЦИЯТА НА БЪЛГАРИЯ",1,2076,1
15,"ПРОТИВ ИСЛЯМИЗАЦИЯТА НА БЪЛГАРИЯ",4,2076,85
15,"ПРОТИВ ИСЛЯМИЗАЦИЯТА НА БЪЛГАРИЯ",6,2076,94
15,"ПРОТИВ ИСЛЯМИЗАЦИЯТА НА БЪЛГАРИЯ",7,2076,2
15,"ПРОТИВ ИСЛЯМИЗАЦИЯТА НА БЪЛГАРИЯ",8,2076,198
15,"ПРОТИВ ИСЛЯМИЗАЦИЯТА НА БЪЛГАРИЯ",9,2076,1
15,"ПРОТИВ ИСЛЯМИЗАЦИЯТА НА БЪЛГАРИЯ",10,2076,2
15,"ПРОТИВ ИСЛЯМИЗАЦИЯТА НА БЪЛГАРИЯ",11,2076,156
15,"ПРОТИВ ИСЛЯМИЗАЦИЯТА НА БЪЛГАРИЯ",12,2076,1
15,"ПРОТИВ ИСЛЯМИЗАЦИЯТА НА БЪЛГАРИЯ",13,2076,52
15,"ПРОТИВ ИСЛЯМИЗАЦИЯТА НА БЪЛГАРИЯ",14,2076,6
15,"ПРОТИВ ИСЛЯМИЗАЦИЯТА НА БЪЛГАРИЯ",15,2076,2076
16,"ЦЯЛА БЪЛГАРИЯ СРЕЩУ НАГЛЕЦИТЕ  БСП и ДПС",1,19276,4
16,"ЦЯЛА БЪЛГАРИЯ СРЕЩУ НАГЛЕЦИТЕ  БСП и ДПС",4,19276,814
16,"ЦЯЛА БЪЛГАРИЯ СРЕЩУ НАГЛЕЦИТЕ  БСП и ДПС",6,19276,831
